first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Dominic,Solanke,6,10,130,2865,52,279.9,524.8,1046.0,14,339,184.4,8,0,2,3.6,56,FW
Lewis,Cook,0,2,51,1712,39,352.5,313.0,45.0,1,280,71.2,3,0,4,0.1,49,MF
Ben,Pearson,0,0,9,282,10,6.4,21.0,9.0,0,32,3.7,1,0,1,0.1,44,MF
Ryan,Christie,1,2,64,1825,35,421.7,282.0,400.0,2,225,110.5,3,0,2,0.1,53,MF
Philip,Billing,7,2,126,2766,54,388.8,622.0,441.0,14,475,145.2,9,0,5,0.9,50,MF
Chris,Mepham,0,0,43,2197,52,54.4,556.4,134.0,6,369,74.4,5,0,7,0.1,43,DF
Mark,Travers,0,0,28,1035,32,0.0,253.0,0.0,1,193,25.4,2,0,0,0.4,41,GK
Lloyd,Kelly,0,2,60,2040,38,97.7,394.0,26.0,5,372,52.1,5,0,3,0.5,43,DF
Siriki,Dembélé,0,0,6,104,2,52.3,31.8,28.0,0,20,11.3,0,0,0,0.1,47,MF
Jaidon,Anthony,3,1,61,1241,29,209.1,299.4,263.0,4,193,77.2,2,0,2,0.1,52,MF
Jordan,Zemura,0,1,47,1452,31,232.8,269.4,71.0,1,235,57.1,5,0,1,0.1,42,DF
Will,Dennis,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,39,GK
Jack,Stephens,0,0,35,1218,24,57.3,270.0,51.0,1,233,38.0,4,0,3,0.0,43,DF
Joe,Rothwell,0,1,33,1010,15,153.3,127.4,27.0,0,167,30.6,3,0,1,0.0,49,MF
Marcus,Tavernier,5,4,94,1740,37,348.4,459.8,436.0,12,315,124.2,5,0,1,0.2,47,MF
James,Hill,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,DF
Darren,Randolph,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,GK
Norberto,Murara Neto,0,0,93,2385,39,0.0,727.6,0.0,9,510,72.8,6,0,4,0.6,45,GK
Marcos,Senesi,2,0,69,2489,55,78.7,586.0,109.0,5,462,77.5,5,0,7,0.2,44,DF
Christian,Saydee,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FW
Owen,Bevan,0,0,1,8,1,0.0,0.2,0.0,0,3,0.0,0,0,0,0.0,40,DF
Cameron,Plain,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Daniel,Adu-Adjei,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FW
Michael,Dacosta Gonzalez,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,MF
Dominic,Sadi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FW
Dango,Ouattara,1,3,49,1239,23,261.0,276.8,274.0,4,163,81.0,1,0,1,0.0,50,MF
Euan,Pollock,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FW
Antoine,Semenyo,1,0,18,250,6,26.5,50.0,32.0,1,56,10.7,0,0,0,0.0,50,FW
Matías,Viña,2,0,28,452,10,28.1,156.4,92.0,0,93,27.7,1,0,1,0.1,45,DF
Illia,Zabarnyi,0,0,7,297,5,0.9,41.2,0.0,0,54,4.1,0,0,0,0.0,45,DF
