Joel Ward,DF,Crystal Palace
Jarrad Branthwaite,DF,Everton
Seamus Coleman,DF,Everton
Ben Godfrey,DF,Everton
Mason Holgate,DF,Everton
Michael Keane,DF,Everton
Vitalii Mykolenko,DF,Everton
Nathan Patterson,DF,Everton
James Tarkowski,DF,Everton
Ashley Young,DF,Everton
Issa Diop,DF,Fulham
Terence Kongolo,DF,Fulham
Kevin Mbabu,DF,Fulham
Tim Ream,DF,Fulham
Antonee Robinson,DF,Fulham
Kenny Tete,DF,Fulham
Tosin Adarabioyo,DF,Fulham
Calvin Bassey,DF,Fulham
Luc De Fougerolles,DF,Fulham
Timothy Castagne,DF,Fulham
Fodé Ballo-Touré,DF,Fulham
Devan Tanton,DF,Fulham
Trent Alexander-Arnold,DF,Liverpool
Joe Gomez,DF,Liverpool
Ibrahima Konaté,DF,Liverpool
Joel Matip,DF,Liverpool
Nathaniel Phillips,DF,Liverpool
Andrew Robertson,DF,Liverpool
Konstantinos Tsimikas,DF,Liverpool
Sepp van den Berg,DF,Liverpool
Virgil van Dijk,DF,Liverpool
Jarell Quansah,DF,Liverpool
Luke Chambers,DF,Liverpool
Callum Scanlon,DF,Liverpool
Mads Juel Andersen,DF,Luton
Amari'i Bell,DF,Luton
Reece Burke,DF,Luton
Alfie Doughty,DF,Luton
Gabriel Osho,DF,Luton
Dan Potts,DF,Luton
Teden Mengi,DF,Luton
Ryan Giles,DF,Luton
Tom Lockyer,DF,Luton
Issa Kaboré,DF,Luton
Aidan Francis-Clarke,DF,Luton
Joseph Johnson,DF,Luton
Manuel Akanji,DF,Manchester City
Nathan Aké,DF,Manchester City
João Cancelo,DF,Manchester City
Rúben Gato Alves Dias,DF,Manchester City
Aymeric Laporte,DF,Manchester City
Rico Lewis,DF,Manchester City
Sergio Gómez,DF,Manchester City
John Stones,DF,Manchester City
Kyle Walker,DF,Manchester City
Joško Gvardiol,DF,Manchester City
Alex Telles,DF,Manchester United
Brandon Williams,DF,Manchester United
Eric Bailly,DF,Manchester United
Diogo Dalot Teixeira,DF,Manchester United
Álvaro Fernández Carreras,DF,Manchester United
Victor Lindelöf,DF,Manchester United
Harry Maguire,DF,Manchester United
Tyrell Malacia,DF,Manchester United
Lisandro Martínez,DF,Manchester United
Raphaël Varane,DF,Manchester United
Luke Shaw,DF,Manchester United
Aaron Wan-Bissaka,DF,Manchester United
Sergio Reguilón,DF,Manchester United
Jonny Evans,DF,Manchester United
Lewis Hall,DF,Newcastle
Harrison Ashby,DF,Newcastle
Sven Botman,DF,Newcastle
Dan Burn,DF,Newcastle
Emil Krafth,DF,Newcastle
Jamaal Lascelles,DF,Newcastle
Jamal Lewis,DF,Newcastle
Javier Manquillo Gaitán,DF,Newcastle
Fabian Schär,DF,Newcastle
Matt Targett,DF,Newcastle
Kieran Trippier,DF,Newcastle
Kell Watts,DF,Newcastle
Paul Dummett,DF,Newcastle
Tino Livramento,DF,Newcastle
Alex Murphy,DF,Newcastle
Nuno Varela Tavares,DF,Nottingham Forest
Serge Aurier,DF,Nottingham Forest
Giulian Biancone,DF,Nottingham Forest
Willy Boly,DF,Nottingham Forest
Steve Cook,DF,Nottingham Forest
Mohamed Dräger,DF,Nottingham Forest
Felipe Augusto de Almeida Monteiro,DF,Nottingham Forest
Richie Laryea,DF,Nottingham Forest
Loïc Mbe Soh,DF,Nottingham Forest
Scott McKenna,DF,Nottingham Forest
Moussa Niakhaté,DF,Nottingham Forest
Jonathan Panzo,DF,Nottingham Forest
Omar Richards,DF,Nottingham Forest
Harry Toffolo,DF,Nottingham Forest
Neco Williams,DF,Nottingham Forest
Joe Worrall,DF,Nottingham Forest
Olu Aina,DF,Nottingham Forest
Josh Powell,DF,Nottingham Forest
Gonzalo Montiel,DF,Nottingham Forest
Murillo Santiago Costa dos Santos,DF,Nottingham Forest
Andrew Omobamidele,DF,Nottingham Forest
Auston Trusty,DF,Sheffield Utd
Anel Ahmedhodžić,DF,Sheffield Utd
George Baldock,DF,Sheffield Utd
Chris Basham,DF,Sheffield Utd
Jayden Bogle,DF,Sheffield Utd
John Egan,DF,Sheffield Utd
Max Lowe,DF,Sheffield Utd
Rhys Norrington-Davies,DF,Sheffield Utd
Jack Robinson,DF,Sheffield Utd
Yasser Larouci,DF,Sheffield Utd
Femi Seriki,DF,Sheffield Utd
Luke Thomas,DF,Sheffield Utd
Jili Buyabu,DF,Sheffield Utd
Ben Davies,DF,Tottenham Hotspur
Eric Dier,DF,Tottenham Hotspur
Emerson Leite de Souza Junior,DF,Tottenham Hotspur
Pedro Porro,DF,Tottenham Hotspur
Ivan Perišić,DF,Tottenham Hotspur
Joe Rodon,DF,Tottenham Hotspur
Cristian Romero,DF,Tottenham Hotspur
Davinson Sánchez,DF,Tottenham Hotspur
Ryan Sessegnon,DF,Tottenham Hotspur
Djed Spence,DF,Tottenham Hotspur
Japhet Tanganga,DF,Tottenham Hotspur
