William Saliba,1260,1,1,6,11,0,0,0,1,0,0,14,0.71,0.50,1.21,11.37,62,55,5,35.6,Saliba
Kieran Tierney,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,44,-1,0.1,Tierney
Takehiro Tomiyasu,583,1,1,3,4,0,0,0,0,1,0,5,0.48,0.38,0.86,6.46,38,45,0,0.7,Tomiyasu
Benjamin White,959,1,1,5,10,0,0,0,2,0,0,11,0.56,0.82,1.38,9.37,55,57,2,12.4,White
Oleksandr Zinchenko,843,1,1,5,7,0,0,0,1,0,0,10,0.36,1.39,1.75,7.34,58,51,1,10.9,Zinchenko
Jurriën Timber,49,0,0,0,0,0,0,0,1,0,0,1,0.00,0.01,0.01,0.28,0,46,-4,0.5,J.Timber
Reuell Walters,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,40,0,0.0,Walters
Alexandre Moreno Lopera,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,50,0,0.1,Alex Moreno
Matty Cash,1068,2,1,3,16,1,0,0,4,0,0,13,3.52,1.31,4.83,15.74,45,50,5,28.6,Cash
Calum Chambers,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,39,-1,1.0,Chambers
Diego Carlos Santos Silva,363,0,0,0,7,0,0,0,0,0,0,4,0.48,0.03,0.51,6.34,10,44,-1,0.3,Diego Carlos
Lucas Digne,1160,0,3,2,18,0,0,0,4,0,0,13,0.23,2.52,2.75,17.58,37,47,2,6.3,Digne
Kortney Hause,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,40,0,0.2,Hause
Ezri Konsa Ngoyo,1170,0,1,2,18,0,0,0,2,0,0,13,0.70,0.27,0.97,18.03,33,45,0,1.4,Konsa
Tyrone Mings,30,0,0,0,2,0,0,0,0,0,0,1,0.01,0.16,0.17,1.08,0,41,-4,1.3,Mings
Pau Torres,1139,2,0,2,16,0,0,0,0,0,0,12,0.84,0.29,1.13,16.95,46,46,1,4.5,Pau
Clément Lenglet,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,45,0,0.1,Lenglet
Ryan Fredericks,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,43,-2,0.0,Fredericks
James Hill,15,0,0,0,0,0,0,0,0,0,0,0,0.00,0.01,0.01,0.19,1,40,0,0.1,Hill
Lloyd Kelly,681,0,0,2,14,0,0,0,1,0,0,8,0.12,0.15,0.27,10.98,20,45,0,0.1,Kelly
Chris Mepham,168,0,0,0,5,0,0,0,1,0,0,2,0.09,0.03,0.12,2.98,3,43,-2,0.1,Mepham
Marcos Senesi,665,0,1,1,18,0,0,0,2,0,0,7,0.00,0.37,0.37,16.86,16,43,-2,0.1,Senesi
Adam Smith,209,0,1,0,5,0,0,0,0,0,0,2,0.00,0.53,0.53,4.74,9,44,-1,0.0,Smith
Illia Zabarnyi,1170,0,0,2,28,0,0,0,2,0,0,13,0.28,0.08,0.36,25.40,21,44,-1,0.1,Zabarnyi
Milos Kerkez,898,0,0,1,25,1,0,0,1,0,0,10,0.18,0.47,0.65,22.45,14,44,-1,0.2,Kerkez
Ben Greenwood,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,40,0,0.2,Greenwood
Max Aarons,949,0,1,2,24,0,0,0,1,0,0,11,0.02,0.75,0.77,21.05,23,45,0,0.2,Aarons
Kristoffer Ajer,723,0,1,2,13,0,0,0,4,0,0,8,0.74,1.85,2.59,11.83,22,45,0,0.4,Ajer
Mads Bech Sørensen,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,40,0,0.1,Bech
Nathan Collins,999,1,1,3,15,0,0,0,2,0,0,11,0.55,0.55,1.10,14.48,40,45,0,0.6,Collins
Charlie Goode,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,39,-1,0.2,Goode
Rico Henry,401,0,1,1,5,0,0,0,1,0,0,5,0.07,0.90,0.97,5.12,13,43,-2,1.1,Henry
Aaron Hickey,713,0,0,2,12,0,0,0,5,0,0,9,0.20,0.13,0.33,10.20,17,44,-1,0.2,Hickey
Ben Mee,422,1,1,0,8,0,0,0,0,0,0,5,0.25,0.47,0.72,6.75,21,48,-2,1.7,Mee
Ethan Pinnock,1260,1,0,3,19,0,0,0,0,0,0,14,1.34,0.38,1.72,18.25,45,46,1,4.5,Pinnock
Mads Roerslev Rasmussen,429,0,0,1,6,0,0,0,0,0,0,4,0.06,0.33,0.39,7.58,17,44,-1,0.1,Roerslev
Mathias Jorgensen,7,0,0,0,0,0,0,0,0,0,0,0,0.00,0.12,0.12,0.12,2,43,-2,0.1,Zanka
Ji-Soo Kim,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,40,0,0.0,Kim Ji-Soo
Valintino Adedokun,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,40,0,0.0,Adedokun
Lewis Dunk,1062,1,0,0,22,0,0,0,3,1,0,12,1.71,1.41,3.12,19.26,18,50,0,3.0,Dunk
Pervis Estupiñán,495,1,3,0,10,1,0,0,2,0,0,6,0.90,1.47,2.37,10.66,25,50,0,16.0,Estupiñan
Michał Karbownik,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,40,0,0.0,Karbownik
Tariq Lamptey,171,0,2,0,6,0,0,0,2,0,0,2,0.02,0.09,0.11,2.18,9,40,0,6.0,Lamptey
Jan Paul van Hecke,568,0,0,0,7,0,0,0,1,0,0,6,0.18,0.07,0.25,7.75,13,40,0,1.9,Van Hecke
Joël Veltman,775,0,1,0,17,0,0,0,1,0,0,7,0.23,0.26,0.49,13.79,17,44,-1,0.9,Veltman
Adam Webster,540,0,0,0,13,1,0,0,1,0,0,6,0.32,0.10,0.42,10.37,5,43,-2,0.2,Webster
Igor Julio dos Santos de Paulo,333,0,0,0,6,0,0,0,1,0,0,4,0.04,0.03,0.07,4.99,7,43,-2,0.1,Igor
Ben Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,40,0,0.0,Jackson
Ameen Al-Dakhil,855,0,0,0,22,1,0,0,1,0,0,10,0.19,0.48,0.67,17.76,9,40,0,0.7,Al-Dakhil
Jordan Beyer,858,0,1,1,18,0,0,0,5,0,0,10,0.26,0.06,0.32,13.62,20,40,0,1.5,Beyer
CJ Egan-Riley,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,39,-1,0.2,Egan-Riley
Hjalmar Ekdal,7,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.03,1,39,-1,0.1,Ekdal
Luke McNally,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,40,0,0.0,McNally
Dara O'Shea,847,0,2,1,26,1,0,0,1,0,0,9,0.24,0.30,0.54,17.31,17,44,-1,0.2,O'Shea
Connor Roberts,733,0,1,0,21,0,0,0,2,1,0,8,0.00,0.34,0.34,16.94,8,44,-1,0.2,Roberts
Charlie Taylor,990,1,1,1,21,0,0,0,3,0,0,11,0.12,0.38,0.50,16.80,25,40,0,5.6,Taylor
Bobby Thomas,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,40,0,0.0,Thomas
Victor da Silva,599,0,0,1,14,0,0,0,0,0,0,7,0.20,0.20,0.40,9.30,13,44,-1,0.1,Vitinho
Owen Dodgson,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,40,0,0.0,Dodgson
Hannes Delcroix,239,0,0,0,11,0,0,0,1,0,0,2,0.35,0.04,0.39,5.61,3,40,0,0.0,Delcroix
Ethan Ampadu,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,40,0,0.0,Ampadu
César Azpilicueta,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,45,0,0.0,Azpilicueta
Abdul Rahman Baba,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,40,0,0.0,Baba
Benoît Badiashile,90,0,0,0,4,0,0,0,0,0,0,1,0.10,0.00,0.10,2.28,0,44,-1,0.0,B.Badiashile
Trevoh Chalobah,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,43,-2,0.0,Chalobah
Ben Chilwell,334,0,1,1,5,0,0,0,3,0,0,4,0.85,1.27,2.12,4.08,15,54,-1,5.3,Chilwell
Levi Colwill,949,0,1,3,13,0,0,0,2,0,0,11,0.84,0.33,1.17,11.91,35,45,0,4.4,Colwill
Marc Cucurella Saseta,575,0,0,1,12,0,0,0,5,0,0,6,0.83,0.21,1.04,9.39,7,48,-2,0.5,Cucurella
Wesley Fofana,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,44,-1,0.0,W.Fofana
Malo Gusto,538,0,2,2,7,0,0,0,1,1,0,6,0.41,0.41,0.82,7.01,24,41,1,5.5,Gusto
Reece James,315,0,1,0,11,0,0,0,0,1,0,4,0.28,0.86,1.14,8.89,7,54,-1,4.2,James
Malang Sarr,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,43,-2,0.1,M.Sarr
Thiago Emiliano da Silva,1170,1,0,3,20,0,0,0,2,0,0,13,0.23,0.33,0.56,17.62,37,50,0,3.6,T.Silva
Axel Disasi,966,1,0,3,13,0,0,0,2,0,0,11,0.78,1.17,1.95,12.65,38,50,0,4.2,Disasi
Bashir Humphreys,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,40,0,0.0,Humphreys
Alfie Gilchrist,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,40,0,0.0,Gilchrist
